,flow,task,run,count,single_execution_time
0,5909,2,1860456,10,1.283132
1,5909,3,1860458,10,2.316795
2,5909,6,1860463,9,12.456413
3,5909,11,1860464,9,1.126984
4,5909,12,1860465,9,3.65409
5,5909,14,1860467,9,2.364133
6,5909,15,1860468,9,1.187904
7,5909,16,1860469,9,2.3304
8,5909,18,1860470,9,1.719811
9,5909,20,1860472,9,4.137435
10,5909,21,1860473,9,1.356666
11,5909,22,1860475,9,2.147308
12,5909,23,1860476,9,1.432005
13,5909,24,1860477,9,3.073723
14,5909,28,1860480,7,4.986094
15,5909,29,1860481,9,1.210295
16,5909,31,1860483,9,1.372695
17,5909,32,1860484,9,4.950061
18,5909,36,1860485,9,1.642055
19,5909,37,1860486,9,1.18121
20,5909,41,1860487,9,1.418553
21,5909,43,1860488,9,3.411171
22,5909,45,1860489,9,3.031358
23,5909,49,1860490,9,1.256085
24,5909,53,1860491,9,1.295296
25,5909,58,1860493,9,3.902751
26,5909,219,1860496,8,11.655479
27,5909,2074,1860497,8,4.82467
28,5909,2075,1860499,9,2.730561
29,5909,2079,1860500,9,1.444441
30,5909,3021,1860501,9,2.218839
31,5909,3022,1860503,9,1.333416
32,5909,3481,1860504,9,36.522478
33,5909,3485,1860506,8,5.234407
34,5909,3492,1860507,9,1.238396
35,5909,3493,1860508,9,1.361825
36,5909,3494,1860509,9,1.470278
37,5909,3510,1860510,9,4.144761
38,5909,3512,1860511,9,1.445312
39,5909,3543,1860512,9,1.151905
40,5909,3549,1860513,9,1.532898
41,5909,3560,1860514,9,1.227046
42,5909,3561,1860516,9,1.201616
43,5909,3567,1860517,9,1.278189
44,5909,3889,1860521,9,30.710934
45,5909,3891,1860522,9,22.216766
46,5909,3896,1860523,9,3.06835
47,5909,3899,1860524,9,3.656771
48,5909,3902,1860525,9,1.477019
49,5909,3903,1860526,9,1.60545
50,5909,3904,1860528,9,5.282824
51,5909,3913,1860529,9,1.191736
52,5909,3917,1860530,9,1.58042
53,5909,3918,1860531,9,1.378424
54,5909,3946,1860533,9,126.385778
55,5909,3948,1860536,9,114.986375
56,5909,3950,1860537,9,8.976432
57,5909,3954,1860538,9,8.007989
58,5909,7592,1860539,9,18.439859
59,5909,9914,1860540,9,1.522783
60,5909,9946,1860541,9,1.21875
61,5909,9950,1860542,9,4.536632
62,5909,9952,1860543,9,1.889311
63,5909,9954,1860544,9,4.27965
64,5909,9955,1860545,9,3.716793
65,5909,9956,1860546,9,4.294515
66,5909,9957,1860547,9,1.411511
67,5909,9960,1860548,9,3.241462
68,5909,9964,1860549,9,3.73969
69,5909,9967,1860550,9,1.626874
70,5909,9968,1860551,9,11.698193
71,5909,9970,1860552,9,1.793086
72,5909,9971,1860553,9,1.18392
73,5909,9976,1860554,9,8.622754
74,5909,9977,1860577,9,41.764198
75,5909,9978,1860582,9,2.441253
76,5909,9979,1860589,9,1.817076
77,5909,9980,1860609,9,1.216413
78,5909,9981,1860610,9,6.200536
79,5909,9983,1860637,9,5.493812
80,5909,9985,1860662,9,4.901402
81,5909,9986,1860677,9,16.348962
82,5909,10093,1860679,9,1.194796
83,5909,10101,1860680,9,1.145428
84,5909,14964,1860690,9,3.23645
85,5909,14965,1860709,9,22.264482
86,5909,14966,1860721,9,49.666949
87,5909,14967,1860723,9,1.958868
88,5909,14968,1860726,9,1.294867
89,5909,14969,1860732,9,6.006722
90,5909,14970,1860744,9,39.1199
91,5909,14971,1860750,9,16.724624
92,5909,34536,1860754,9,35.372621
93,5909,34537,1860755,9,4.809356
94,5909,34538,1860756,9,1.76151
95,5909,34539,1860764,9,11.798625
96,5909,125920,1860768,9,1.195106
97,5909,125921,1860772,9,1.144991
98,5909,125922,1860779,9,3.600809
99,5909,125923,1860782,9,1.215229
